prn (keVnr) 	 qi (keVee) 
7.560951   4.750564
15.944035   10.093387
17.563102   10.185785
3.447932   2.190336
18.109150   10.104447
16.192181   10.890248
17.343712   10.500945
2.114557   0.157192
2.380018   1.805213
9.761965   6.857194
19.849047   13.218745
10.262589   6.179849
16.595604   10.669454
4.234298   0.464466
16.591061   10.562898
6.975433   0.187271
5.880380   0.053277
18.994057   12.438710
17.696874   9.870328
8.644436   4.899018
12.527367   9.318982
9.629437   1.318932
14.063296   9.535026
16.737331   10.222704
14.930945   10.481457
2.108003   0.833650
2.146318   1.285467
17.345794   10.448986
17.245123   10.534923
3.051620   0.475979
11.451322   6.406029
12.064688   7.408051
5.055865   2.934170
2.851898   -0.238877
15.191002   9.467419
17.783949   11.298161
2.371161   0.568095
7.357775   0.012261
3.561809   0.393585
8.054200   5.517844
15.759062   10.613981
9.886191   6.009550
3.569251   1.791719
13.729076   8.906096
4.239550   3.183832
11.160052   6.799940
17.160456   10.254838
18.607121   11.699260
9.832276   3.587476
3.498491   0.399186
19.384729   11.920594
3.154415   1.570996
8.752180   4.545203
3.251487   1.851476
3.889447   1.936026
6.832971   2.618417
3.962818   2.502070
16.285644   10.120062
3.095564   0.326227
17.145734   10.530492
2.569065   1.269927
3.122480   2.149777
4.459864   1.944982
6.784402   4.074627
3.702433   0.588477
4.516346   2.422443
17.065852   11.076509
5.396701   4.272369
18.953216   8.321083
5.939663   3.189090
6.607045   2.627540
6.086182   -0.031878
18.394721   12.790128
7.995078   4.920396
7.738869   4.815407
2.772348   2.233961
10.279907   6.034644
16.532292   10.863908
16.715036   10.039110
2.303617   0.969011
9.547240   0.366035
13.450817   7.765202
9.048725   2.359660
6.150975   3.921013
10.046693   5.924386
4.261245   0.381796
14.621792   8.735415
9.388738   6.011572
5.784862   3.746877
18.277723   12.662221
2.638762   1.442090
17.196990   10.478971
17.453509   9.830812
17.286267   9.646752
13.889664   8.982981
8.026537   4.910874
17.067347   9.959284
14.021662   7.900464
16.910239   10.167957
5.833947   0.657852
2.881276   -0.116879
2.233309   0.752447
2.276011   0.146269
10.791816   7.254283
15.132996   1.437922
13.713816   8.255620
15.654960   6.298898
9.776165   5.748983
5.397936   4.401498
4.469730   2.462003
4.277402   0.686298
11.832816   6.663987
3.480111   1.925171
16.505536   9.676622
7.574803   4.663413
2.566594   0.460891
17.165201   10.411220
7.043170   0.987346
15.416544   10.529643
12.482233   8.848459
16.435240   11.013107
11.240104   6.688841
16.634842   10.084427
7.777866   0.399321
17.044077   11.127271
7.160619   4.543376
10.207205   6.239277
16.321180   10.804574
17.461242   10.224166
7.639255   0.233317
17.258269   9.644934
16.721816   10.278460
2.946703   0.351818
16.747485   10.580356
14.219807   9.856544
4.844013   3.035837
2.923777   0.258838
16.270477   10.244042
15.375353   9.835429
6.342640   0.738557
3.033520   1.579495
16.202204   10.684318
2.060904   1.070625
14.787686   10.289961
17.037266   10.505395
15.526827   10.201138
2.153871   0.669912
15.003162   10.502942
17.378187   9.819979
3.264932   0.539114
14.283306   8.545342
14.809148   8.909582
5.822210   1.468763
17.341448   9.946023
2.436284   1.375867
10.030111   7.590111
12.358530   7.544159
4.301607   0.209028
3.421553   1.008899
3.853946   0.352215
15.079343   10.008574
16.022883   11.486660
16.638972   10.752837
15.693829   10.559351
2.171284   0.269637
3.244293   1.347410
5.925122   3.675627
13.561974   5.851045
3.099439   0.562317
15.497880   11.199580
5.007873   -0.156769
18.538693   11.784590
16.755278   9.849147
7.142816   5.267215
2.506388   1.321660
16.304120   10.492577
17.599174   10.692548
17.356740   10.340123
17.487430   10.037526
17.299892   10.079635
14.459852   9.800581
9.840825   7.233377
15.388521   10.517402
13.355391   8.149909
16.759725   11.770259
2.004778   0.193924
7.831740   4.648269
15.818894   10.187497
5.714687   2.901625
2.944657   0.828699
7.568212   1.727053
6.090539   0.912694
16.762691   10.394623
5.667751   1.845895
16.313035   10.106436
5.674261   3.443587
18.885244   12.192502
2.777462   0.568514
16.714005   11.401840
5.808656   3.171379
19.091589   11.344987
2.961023   0.124567
17.100092   10.226302
16.552260   11.891509
7.301940   4.991853
5.435026   2.674171
15.325110   9.719671
16.765234   10.839691
4.773807   0.039353
16.744472   9.629269
10.577744   6.348506
16.545012   10.255558
11.159080   8.549986
12.987989   6.836575
2.034232   -0.088109
16.996688   10.498354
15.545330   9.117774
9.724768   6.548084
3.049088   2.224233
2.077120   -0.003010
2.873165   2.585348
14.733329   9.761498
17.346858   10.285609
12.288389   8.808364
7.669786   5.331874
16.875379   9.628176
15.375920   10.616480
3.846072   0.229797
16.910540   10.415940
16.471558   10.147711
15.338937   10.544345
15.754282   10.092793
12.315505   8.274523
17.557159   10.176335
2.594910   0.847683
17.322756   12.446716
9.857486   6.672322
16.210196   11.044197
3.899841   2.521974
9.687393   6.068001
18.101776   12.333905
10.846919   6.319958
19.655961   13.751430
7.226641   4.222150
2.186989   0.107331
15.964845   10.527352
6.869196   0.443229
2.021253   0.400550
4.928341   0.271453
3.024427   1.897453
16.947915   9.386133
2.353375   1.614248
17.162566   9.712114
15.804793   10.103187
2.251392   0.242070
3.022507   0.226591
3.745662   0.222353
16.356352   10.264485
15.108420   11.073187
17.567961   9.719372
7.861238   3.527061
2.141600   0.174157
11.348563   7.707332
16.861930   10.354854
6.517794   1.921842
16.719067   10.451119
2.299549   1.825574
6.921378   4.566524
9.793758   3.877674
12.978775   8.724819
7.902452   4.554653
5.884455   3.844145
2.705705   1.551739
13.749428   8.772652
16.682772   11.156996
4.369393   2.528732
15.976555   10.330592
7.456337   2.595857
9.948311   5.795874
5.268281   3.532030
18.688863   12.393515
6.828361   4.010521
3.206636   0.393958
7.304097   4.656809
12.685716   8.115114
