prn (keVnr) 	 qi (keVee) 
2.165028   0.617959
2.968742   2.410851
17.351256   8.231344
2.700974   1.197173
4.378975   2.502933
18.125917   11.271330
13.692844   8.943988
14.777843   8.681056
7.123999   4.292579
4.494679   -0.042303
19.916371   13.186231
18.808368   12.543948
2.819293   1.693570
12.656440   7.562471
18.811001   11.860094
15.949163   10.395922
3.404061   2.245119
11.726405   7.973703
15.619460   10.265128
14.481943   8.531406
8.391646   4.984342
7.636750   5.159643
19.111129   11.868029
14.788781   8.523141
17.309092   11.324592
13.470887   4.104768
12.632092   7.648151
10.022178   6.751513
13.563640   7.440728
12.590878   8.308655
8.667088   5.324470
17.578842   10.706151
10.803148   6.442675
2.702045   0.093305
4.253643   2.672172
17.396249   11.337337
5.290309   3.342978
11.611486   7.350502
8.242435   4.404436
10.327309   6.406051
12.127471   3.960454
18.135491   10.595411
13.692707   3.024627
3.861971   2.709106
9.698771   6.237365
2.893207   0.395040
15.635410   9.146790
6.445411   3.120513
12.431102   6.615797
7.232363   4.616467
11.595628   7.254707
7.149456   5.003819
12.845659   7.639691
13.582910   8.113068
6.925400   0.573334
9.570232   6.986129
6.390785   3.671044
9.981266   6.101458
11.560275   6.795111
17.110796   12.164234
13.599163   8.409181
7.669920   4.326069
3.245642   1.194556
18.860076   11.892671
18.282512   10.838661
15.057950   10.041337
4.673341   2.299702
16.490578   9.922656
3.654094   1.878040
18.874320   11.707789
16.579524   9.450084
14.571026   10.279981
10.059964   6.266732
15.689954   9.808820
19.134728   11.812564
8.028244   5.233762
14.932243   9.358791
19.866864   11.851271
2.984757   1.415340
12.905437   7.320512
8.964366   6.202523
5.190956   1.907680
19.964284   12.334273
9.688384   5.672763
19.606198   11.434254
14.237459   8.686245
2.359885   0.386544
18.898632   12.581164
4.093638   2.660745
12.873926   8.595018
16.952226   10.078155
13.109254   7.318237
15.744415   10.823449
17.881330   13.133617
3.392044   2.298172
17.307919   10.819231
2.357777   1.784307
8.636290   4.291558
2.035125   1.357556
18.297802   11.430582
12.003416   8.603966
9.274097   5.967261
12.576744   7.842185
6.881895   3.693745
15.528520   10.274386
13.006259   7.940187
3.346621   1.710171
9.805095   5.922500
8.109932   4.605352
2.878174   2.361643
9.191408   5.619037
5.498292   4.023604
9.046252   5.447999
16.718655   10.180424
7.826277   4.142190
17.324640   10.354406
17.555452   11.305228
17.163140   4.599161
12.507994   6.961267
6.856129   4.372576
5.300799   2.970884
14.377008   9.976767
19.179785   13.578657
3.724037   1.549776
5.744426   3.090424
14.389636   8.345581
5.322461   3.107729
8.191840   5.210422
12.390003   8.154531
18.809716   10.842715
7.879240   5.268773
6.736977   3.729918
4.681152   2.421540
6.335997   3.220003
15.256526   9.362319
10.400151   6.595326
18.568566   10.591174
3.514244   1.509787
3.959885   2.043680
5.569398   2.828817
11.655129   7.827925
2.587072   1.070738
9.169185   6.372091
12.616416   8.191731
14.948080   9.163378
2.652883   0.947502
19.844071   11.869658
3.628665   2.346946
4.211795   2.226509
6.688209   3.542703
4.939700   2.923404
12.128311   7.431028
10.503778   5.570089
14.237058   8.459089
9.879819   6.483318
19.141815   13.177293
11.254882   7.245337
12.363693   7.136565
2.316504   1.880990
16.005649   11.979774
18.659397   11.980672
19.024941   12.992272
7.575445   5.151989
11.828234   6.636032
6.524487   4.214992
14.364605   9.635307
8.612634   4.683877
10.435016   6.389918
5.265037   0.749070
3.000400   0.983026
9.080972   5.265179
4.293475   2.451744
5.799115   3.262825
11.985131   7.805696
6.602750   4.113193
18.911534   12.355913
8.939901   5.131589
16.419776   9.216219
15.293593   10.420775
6.319617   3.410172
10.667306   6.097662
3.654142   1.982265
2.051273   0.399995
12.772866   7.603888
12.595381   7.644327
7.423743   3.592523
11.817965   7.948242
4.465920   2.384008
8.802162   4.555505
3.422510   2.027403
11.418345   7.239547
16.849714   11.634826
9.490574   5.480245
13.867829   9.301044
6.840945   4.057784
12.323911   8.273953
5.531293   3.759052
2.114735   1.039790
6.745385   5.027416
4.203298   2.575227
10.341997   6.009325
8.490490   4.913955
12.594107   7.700295
2.280826   1.308370
7.541883   4.344414
2.938830   1.921321
6.301788   3.197204
17.444591   12.075972
3.582469   1.938957
19.158166   6.687448
5.459199   3.447637
4.367565   1.939567
19.407711   13.953482
11.780255   6.345047
2.555477   0.856454
7.611451   5.509754
19.722138   12.575189
16.550120   10.862323
13.634230   9.553000
11.474714   6.359696
17.353285   11.887954
9.403064   6.208573
6.945128   4.245087
10.069952   5.486297
9.707052   5.793362
3.319234   1.822875
11.894876   7.741242
18.593855   11.962482
3.761444   2.305688
7.290086   3.554849
14.681401   9.821538
7.623254   4.477296
8.007487   4.480307
7.959907   5.247074
6.872939   4.349628
5.797544   3.967492
3.048049   2.165729
9.344368   5.227639
14.559715   9.232844
10.343425   5.951443
15.363441   8.724619
10.233116   6.414159
8.555838   5.065251
16.217956   10.074219
4.384534   2.599235
3.269228   1.918813
6.027260   3.239672
2.700842   0.693239
6.932323   4.591354
16.475781   10.741157
11.693209   7.138182
9.884744   6.523411
3.969335   3.357369
5.981350   3.452514
